"STATE","RANK","VALUE"
"Vermont","","0118"
"Maine","","0130"
"Virginia","0003","0196"
"New Hampshire","0004","0199"
"Idaho","0005","0216"
"Connecticut","0006","0219"
"Kentucky","","0219"
"Wyoming","0008","0222"
"Utah","0009","0236"
"North Dakota","0010","0239"
"Rhode Island","0011","0243"
"Minnesota","0012","0243"
"New Jersey","0013","0255"
"Oregon","0014","0260"
"Nebraska","0015","0275"
"Mississippi","0016","0276"
"Washington","0017","0284"
"Iowa","0018","0286"
"Ohio","0019","0292"
"Hawaii","0020","0293"
"Wisconsin","0021","0306"
"Pennsylvania","0022","0315"
"Colorado","0023","0321"
"West Virginia","0024","0338"
"North Carolina","0025","0347"
"Montana","0026","0350"
"Georgia","0027","0378"
"New York","0028","0380"
"South Dakota","0029","0383"
"Illinois","0030","0384"
"Indiana","0031","0388"
"Kansas","0032","0390"
"Massachusetts","0033","0391"
"Arizona","0034","0410"
"Texas","0035","0412"
"Michigan","0036","0416"
"Oklahoma","0037","0422"
"California","0038","0426"
"Maryland","0039","0457"
"Florida","0040","0462"
"Alabama","0041","0472"
"Missouri","0042","0497"
"Delaware","0043","0499"
"South Carolina","0044","0505"
"Arkansas","0045","0521"
"Louisiana","0046","0540"
"Tennessee","0047","0612"
"New Mexico","0048","0656"
"Nevada","0049","0696"
"Alaska","0050","0730"
