"STATE","RANK","VALUE"
"Maine","","0124"
"Vermont","","0158"
"New Hampshire","0003","0198"
"Virginia","0004","0218"
"Connecticut","0005","0227"
"Idaho","0006","0230"
"Kentucky","","0232"
"Rhode Island","0008","0239"
"Minnesota","0009","0243"
"Utah","0009","0243"
"Wyoming","0011","0244"
"New Jersey","0012","0245"
"North Dakota","0013","0251"
"Oregon","0014","0265"
"Mississippi","0015","0281"
"Iowa","0016","0291"
"Nebraska","0016","0291"
"Ohio","0018","0300"
"Washington","0019","0302"
"Wisconsin","0020","0306"
"Hawaii","0021","0309"
"Pennsylvania","0022","0316"
"Colorado","0023","0343"
"West Virginia","0024","0358"
"Montana","0025","0368"
"North Carolina","0026","0372"
"New York","0027","0376"
"Massachusetts","0028","0377"
"Kansas","0029","0380"
"Georgia","0030","0398"
"Indiana","0031","0405"
"South Dakota","0032","0418"
"Florida","0033","0430"
"Texas","0034","0434"
"Illinois","0035","0436"
"California","0036","0445"
"Oklahoma","0037","0450"
"Michigan","0038","0459"
"Arizona","0039","0470"
"Maryland","0040","0472"
"South Carolina","0041","0502"
"Delaware","0042","0509"
"Missouri","0043","0519"
"Alabama","0044","0532"
"Arkansas","0045","0551"
"Louisiana","0046","0566"
"Tennessee","0047","0633"
"Nevada","0048","0678"
"New Mexico","0049","0703"
"Alaska","0050","0804"
